Latin Name - Sanskrit - Translation
ākarṇa dhanurāsana	आकर्ण धनुरासन	akarna dhanurasana
padmāsana	पद्मासन	padmasana
ardha padmāsana	अर्ध पद्मासन	ardha padmasana
baddha pārśvakoṇāsana	बद्ध पार्श्वकोणासन	baddha parshvakonasana
aṣṭa candrāsana	अष्ट चन्द्रासन	ashta chandrasana
eka pāda rāja kapotāsana b	एक पाद राज कपोतासन ब्	eka pada raja kapotasana b
añjaneyāsana	अञ्जनेयासन	anjaneyasana
eka pāda kouṇḍinyāsana	एक पाद कोउण्डिन्यासन	eka pada koundinyasana
aśva sañcalanāsana	अश्व सञ्चलनासन	ashva sanchalanasana
parivṛtta añjaneyāsana	परिवृत्त अञ्जनेयासन	parivritta anjaneyasana
utthita parivṛtta añjaneyāsana	उत्थित परिवृत्त अञ्जनेयासन	utthita parivritta anjaneyasana
parivṛtta baddha añjaneyāsana	परिवृत्त बद्ध अञ्जनेयासन	parivritta baddha anjaneyasana
parivṛtta añjaneyāsana	परिवृत्त अञ्जनेयासन	parivritta anjaneyasana
utthita parivṛtta añjaneyāsana	उत्थित परिवृत्त अञ्जनेयासन	utthita parivritta anjaneyasana
parivṛtta baddha añjaneyāsana	परिवृत्त बद्ध अञ्जनेयासन	parivritta baddha anjaneyasana
vakrasana	वक्रसन	vakrasana
marīcyāsana c	मरीच्यासन च्	marichyasana c
marīcyāsana b	मरीच्यासन ब्	marichyasana b
marīcyāsana a	मरीच्यासन अ	marichyasana a
marīcyāsana d	मरीच्यासन द्	marichyasana d
tāḍāsana	ताडासन	tadasana
tāḍāsana	ताडासन	tadasana
ardha candrāsana	अर्ध चन्द्रासन	ardha chandrasana
utthita bhujaṅgāsana	उत्थित भुजङ्गासन	utthita bhujangasana
ūrdhva vṛkṣāsana	ऊर्ध्व वृक्षासन	urdhva vrikshasana
ūrdhva hastāsana	ऊर्ध्व हस्तासन	urdhva hastasana
kapiñjalāsana	कपिञ्जलासन	kapinjalasana
mayūrāsana	मयूरासन	mayurasana
padma mayūrāsana	पद्म मयूरासन	padma mayurasana
lolāsana	लोलासन	lolasana
kapotāsana	कपोतासन	kapotasana
eka pāda gālavāsana	एक पाद गालवासन	eka pada galavasana
eka pāda rāja kapotāsana	एक पाद राज कपोतासन	eka pada raja kapotasana
ardha kapotāsana	अर्ध कपोतासन	ardha kapotasana
eka pāda rāja kapotāsana	एक पाद राज कपोतासन	eka pada raja kapotasana
rāja kapotāsana	राज कपोतासन	raja kapotasana
phalakāsana	फलकासन	phalakasana
eka pāda phalakāsana	एक पाद फलकासन	eka pada phalakasana
vasiṣṭhāsana	वसिष्ठासन	vasishthasana
utthita vasiṣṭhāsana	उत्थित वसिष्ठासन	utthita vasishthasana
kaśyapāsana	कश्यपासन	kashyapasana
kāla bhairavāsana	काल भैरवासन	kala bhairavasana
pūrvottānāsana	पूर्वोत्तानासन	purvottanasana
eka pāda pūrvottānāsana	एक पाद पूर्वोत्तानासन	eka pada purvottanasana
halāsana	हलासन	halasana
ardha dhanurāsana	अर्ध धनुरासन	ardha dhanurasana
uttāna śiśosana	उत्तान शिशोसन	uttana shishosana
ardha hanumānāsana	अर्ध हनुमानासन	ardha hanumanasana
pārśvottānāsana	पार्श्वोत्तानासन	parshvottanasana
śaśankāsana	शशन्कासन	shashankasana
śayanāsana	शयनासन	shayanasana
kukkuṭāsana	कुक्कुटासन	kukkutasana
ūrdhva kukkuṭāsana	ऊर्ध्व कुक्कुटासन	urdhva kukkutasana
bhujapīḍāsana	भुजपीडासन	bhujapidasana
vṛścikāsana a	वृश्चिकासन अ	vrischikasana a
paścimottānāsana a	पश्चिमोत्तानासन अ	paschimottanasana a
ardha baddha padma paścimottānāsana	अर्ध बद्ध पद्म पश्चिमोत्तानासन	ardha baddha padma paschimottanasana
paścimottānāsana b	पश्चिमोत्तानासन ब्	paschimottanasana b
paścimottānāsana c	पश्चिमोत्तानासन च्	paschimottanasana c
paścimottānāsana d	पश्चिमोत्तानासन द्	paschimottanasana d
parivṛtta paścimottānāsana	परिवृत्त पश्चिमोत्तानासन	parivritta paschimottanasana
triaṅgā mukha eka pāda paścimottānāsana	त्रिअङ्गा मुख एक पाद पश्चिमोत्तानासन	trianga mukha eka pada paschimottanasana
upaviṣṭa koṇāsana a	उपविष्ट कोणासन अ	upavishta konasana a
upaviṣṭa koṇāsana b	उपविष्ट कोणासन ब्	upavishta konasana b
parighāsana	परिघासन	parighasana
pāśāsana	पाशासन	pashasana
parivṛtta sūrya yantrāsana	परिवृत्त सूर्य यन्त्रासन	parivritta surya yantrasana
setu bandhāsana	सेतु बन्धासन	setu bandhasana
ūrdhva padmāsana	ऊर्ध्व पद्मासन	urdhva padmasana
sālamba sarvāṅgāsana	सालम्ब सर्वाङ्गासन	salamba sarvangasana
baddha koṇa sālamba sarvāṅgāsana	बद्ध कोण सालम्ब सर्वाङ्गासन	baddha kona salamba sarvangasana
